epoch,elapsed,loss,acc,val_loss,val_acc
0,3.8577475547790527,0.246596618179,0.92415,0.117938862984,0.9638
1,3.1699912548065186,0.103439384695,0.968450000032,0.110007791069,0.9672
2,3.178046703338623,0.0771225801468,0.976483333397,0.072648709226,0.9789
3,3.16520357131958,0.0615743757844,0.980850000032,0.0745473515532,0.9806
4,3.200334072113037,0.0512585879534,0.984700000064,0.07516946018,0.9814
5,3.2080202102661133,0.0433207807538,0.98676666673,0.0716939534336,0.9824
6,3.1726598739624023,0.038314930304,0.988883333397,0.0851698188876,0.9823
7,3.203268527984619,0.0331438627949,0.98991666673,0.0924382223573,0.9803
8,3.2445762157440186,0.0317760964833,0.991066666667,0.0788639993147,0.983
9,3.4728012084960938,0.029988932806,0.991133333397,0.0887291800083,0.983
10,3.359504222869873,0.0277954141499,0.992416666667,0.0865715019627,0.9826
11,3.1865501403808594,0.0257771648077,0.992850000127,0.0970065550265,0.9808
12,3.2700016498565674,0.0241341606465,0.993133333397,0.0896530111371,0.9847
13,3.4564695358276367,0.0245389395621,0.99355,0.0912430996999,0.9829
14,3.144223690032959,0.0203282965487,0.994033333397,0.0983250004617,0.9839
15,3.1449196338653564,0.0216566082096,0.994083333397,0.0987660720064,0.9845
16,3.116353988647461,0.0206649442445,0.994366666698,0.107294534397,0.9828
17,3.2280757427215576,0.0214028721017,0.994616666667,0.105367234296,0.9828
18,3.1600050926208496,0.0195024909022,0.995033333397,0.107051509047,0.9838
19,3.1579627990722656,0.0181867301755,0.995583333333,0.119530132247,0.982
