epoch,elapsed,loss,acc,val_loss,val_acc
0,4.300468683242798,0.246437792792,0.9237,0.10355057134,0.9694
1,4.225112438201904,0.101934610697,0.967716666698,0.0833701267928,0.9739
2,4.25256085395813,0.0759509379213,0.977499999968,0.0712479480379,0.9795
3,4.259674787521362,0.0591582585615,0.982266666667,0.0778427794259,0.9802
4,4.443148374557495,0.0517339316316,0.984700000032,0.0769518715206,0.9793
5,4.598776340484619,0.0429916267898,0.987333333302,0.0840719929425,0.9811
6,4.306004047393799,0.0373543019775,0.988983333333,0.0730665971655,0.9838
7,4.23872971534729,0.0350387835596,0.989799999968,0.0891586423343,0.9811
8,4.206415891647339,0.0314809277074,0.990766666635,0.087212213162,0.983
9,4.216648578643799,0.0294653629222,0.9914,0.0821090278643,0.9835
10,4.219558000564575,0.0282506208229,0.992083333302,0.0914763256765,0.9829
11,4.214390993118286,0.0257710880947,0.992316666667,0.0885664051208,0.9821
12,4.254696607589722,0.0250332885546,0.993066666667,0.100212743171,0.9826
13,4.242715120315552,0.0230640740121,0.9938,0.0922880329791,0.9832
14,4.226825475692749,0.0218418634695,0.993916666635,0.108210611305,0.982
15,4.237235069274902,0.019564757296,0.994383333302,0.120775996984,0.9816
16,4.236418008804321,0.0213087743399,0.994483333302,0.103694615408,0.9831
17,4.234072923660278,0.0197530971083,0.99445,0.102243281364,0.9831
18,4.219087362289429,0.0187517184824,0.995066666667,0.116909221644,0.9821
19,4.197624206542969,0.0182894863413,0.99525,0.106702227931,0.9836
