epoch,elapsed,loss,acc,val_loss,val_acc
0,95.95141363143921,1.85437157731,0.315060819462,1.55056991444,0.4512
1,95.01315927505493,1.57633107467,0.425612391931,1.38827901344,0.5045
2,94.60222816467285,1.44341415459,0.478666346462,1.32029818764,0.5212
3,94.43919086456299,1.34955182703,0.515549951969,1.19346428032,0.5762
4,93.94982099533081,1.27579601506,0.54684998399,1.12170031757,0.5967
5,94.4003415107727,1.21660043,0.568143611912,1.0630390255,0.6259
6,94.2862195968628,1.16637933804,0.58747598463,1.02048538036,0.6421
7,94.743732213974,1.12304179133,0.601625040026,0.976004547787,0.6517
8,95.20224595069885,1.0879416894,0.61667467179,0.949642967033,0.6639
9,94.60506296157837,1.05782454818,0.624099423631,0.913263311195,0.6819
10,97.86496901512146,1.03426871808,0.635246557797,0.878741367531,0.6905
11,100.9896788597107,1.00921635205,0.644952769773,0.863487445831,0.701
12,96.80406379699707,0.988504529954,0.652777777778,0.851860368729,0.7037
13,94.96210718154907,0.958431132112,0.662984309958,0.808657740593,0.7173
14,106.61537981033325,0.945390110515,0.66884806276,0.794005910206,0.7222
15,106.54490375518799,0.92964868499,0.673030739673,0.800327540874,0.7201
16,102.85987758636475,0.915996483645,0.67873439001,0.773828588009,0.7324
17,107.57873702049255,0.905236835419,0.683497438361,0.768446632004,0.7287
18,102.53219676017761,0.89248505709,0.688260486711,0.764577364922,0.7292
19,107.33135271072388,0.884311125746,0.692643291707,0.74920541048,0.7421
